célia,célia.N+Pr:fs;@SÉ-LÍ-6
observada,observado.V:K;ÔB-SÊR-@VÁ-D6
sorvete,sorvete.N:ms;SÔR-@VÊ-7I
três,três.DET+Num:;@TŔÊS
três,três.N:ms;@TŔÊS
três,três.N:mp;@TŔÊS
três,três.DET+Num:;@TŔÊS
três,três.N:ms;@TŔÊS
três,três.N:mp;@TŔÊS
baixando,baixar.V:G;BÁY-@XÃ-DU
botânica,botânico.A:fs;BÔ-@TÃ-NÍ-K6
botânica,botânico.N:fs;BÔ-@TÃ-NÍ-K6
recebedor,recebedor.A:ms;HÊ-SÊ-BÊ-@DÔH
recebedor,recebedor.N:ms;HÊ-SÊ-BÊ-@DÔH
excedam,exceder.V:S3p;Ê-@SÊ-DÃŴ
excedam,exceder.V:Y3p;Ê-@SÊ-DÃŴ
ostensivas,ostensivo.A:fp;ÔS-TẼ-@SÍ-V6S
legislativos,legislativo.A:mp;LÊ-JÍZ-LÁ-@7Í-VUS
legislativos,legislativo.A:mp;LÊ-JÍZ-LÁ-@7Í-VUS
prédio,prédio.N:ms;@PŔÉ-8Í-U
boladas,bolar.V:K;BÔ-@LÁ-D6S
estoura,estourar.V:P3s;ÊS-@TÔW-Ŕ6
estoura,estourar.V:Y2s;ÊS-@TÔW-Ŕ6
sociocultural,sociocultural.A:ms;SÔ-SÍ-Ô-KÚW-TÚ-@ŔÁW
sociocultural,sociocultural.A:fs;SÔ-SÍ-Ô-KÚW-TÚ-@ŔÁW
gerações,geração.N:fp;JÊ-ŔÁ-@SÕỸS
ganhado,ganhar.V:K;GÃ-@ÑÁ-DU
variar,variar.V:W1s;VÁ-ŔÍ-@ÁH
variar,variar.V:W3s;VÁ-ŔÍ-@ÁH
variar,variar.V:U1s;VÁ-ŔÍ-@ÁH
variar,variar.V:U3s;VÁ-ŔÍ-@ÁH
oposto,oposto.A:ms;Ô-@PÔS-TU
oposto,oposto.V:K;Ô-@PÔS-TU
oposto,oposto.N:ms;Ô-@PÔS-TU
oposto,oposto.A:ms;Ô-@PÔS-TU
oposto,oposto.V:K;Ô-@PÔS-TU
oposto,oposto.N:ms;Ô-@PÔS-TU
altair,altair.N+Pr:;ÁW-TÁ-@ÍH
desenvolvimentista,desenvolvimentista.A:ms;DÊ-ZẼ-VÔW-VÍ-MẼ-@7ÍS-T6
desenvolvimentista,desenvolvimentista.A:fs;DÊ-ZẼ-VÔW-VÍ-MẼ-@7ÍS-T6
desenvolvimentista,desenvolvimentista.A:ms;DÊ-ZẼ-VÔW-VÍ-MẼ-@7ÍS-T6
desenvolvimentista,desenvolvimentista.A:fs;DÊ-ZẼ-VÔW-VÍ-MẼ-@7ÍS-T6
matriz,matriz.A:ms;MÁ-@TŔÍS
matriz,matriz.A:fs;MÁ-@TŔÍS
matriz,matriz.N:fs;MÁ-@TŔÍS
diríamos,dizer.V:C1p;8Í-@ŔÍ-6-MUS
confins,confim.A:mp;@KÕ-FĨS
confins,confim.A:fp;@KÕ-FĨS
confins,confim.N:mp;@KÕ-FĨS
urca,urca.N+Pr:;@ÚH-K6
complexo,complexo.A:ms;KÕ-@PLÉ-QU
complexo,complexo.N:ms;KÕ-@PLÉ-QU
complexo,complexo.A:ms;KÕ-@PLÉ-QU
complexo,complexo.N:ms;KÕ-@PLÉ-QU
válidos,válido.A:mp;@VÁ-LÍ-DUS
válidos,válido.A:mp;@VÁ-LÍ-DUS
apagadas,apagar.V:K;Á-PÁ-@GÁ-D6S
influenciados,influenciado.A:mp;Ĩ-FLÚ-Ẽ-SÍ-@Á-DUS
influenciados,influenciado.V:K;Ĩ-FLÚ-Ẽ-SÍ-@Á-DUS
tramado,tramado.A:ms;TŔÁ-@MÁ-DU
tramado,tramado.V:K;TŔÁ-@MÁ-DU
tramado,tramado.N:ms;TŔÁ-@MÁ-DU
citações,citação.N:fp;SÍ-TÁ-@SÕỸS
correrem,correr.V:W3p;KÔ-@HÊ-ŔẼỸ
correrem,correr.V:U3p;KÔ-@HÊ-ŔẼỸ
tela,tela.N:fs;@TÉ-L6
isoladas,isolar.V:K;Í-ZÔ-@LÁ-D6S
ignorar,ignorar.V:W1s;ÍG-NÔ-@ŔÁH
ignorar,ignorar.V:W3s;ÍG-NÔ-@ŔÁH
ignorar,ignorar.V:U1s;ÍG-NÔ-@ŔÁH
ignorar,ignorar.V:U3s;ÍG-NÔ-@ŔÁH
neologismos,neologismo.N:mp;NÉ-Ô-LÔ-@JÍZ-MUS
pescoço,pescoço.N:ms;PÊS-@KÔ-SU
donald,donald.N+Pr:;@DÕ-N6W8
crença,crença.N:fs;@KŔẼ-S6
enferrujada,enferrujar.V:K;Ẽ-FÊ-HÚ-@JÁ-D6
apostas,aposto.A:fp;Á-@PÓS-T6S
apostas,aposto.V:K;Á-@PÓS-T6S
apostas,aposto.V:P2s;Á-@PÓS-T6S
apostas,aposto.N:fp;Á-@PÓS-T6S
proponho,propor.V:P1s;PŔÔ-@PÕ-ÑU
caídos,caído.A:mp;KÁ-@Í-DUS
caídos,caído.V:K;KÁ-@Í-DUS
caídos,caído.N:mp;KÁ-@Í-DUS
teologia,teologia.N:fs;TÊ-Ô-LÔ-@JÍ-6
descansa,descansar.V:P3s;DÊS-@KÃ-S6
descansa,descansar.V:Y2s;DÊS-@KÃ-S6
destrutivos,destrutivo.A:mp;DÊS-TŔÚ-@7Í-VUS
açucena,açucena.N:fs;Á-SÚ-@SẼ-N6
açucena,açucena.N+Pr:;Á-SÚ-@SẼ-N6
facilitou,facilitar.V:J3s;FÁ-SÍ-LÍ-@TÔW
enfoca,enfocar.V:P3s;Ẽ-@FÓ-K6
enfoca,enfocar.V:Y2s;Ẽ-@FÓ-K6
salvadoras,salvador.A:fp;SÁW-VÁ-@DÔ-Ŕ6S
salvadoras,salvador.N:fp;SÁW-VÁ-@DÔ-Ŕ6S
descrente,descrente.A:ms;DÊS-@KŔẼ-7I
descrente,descrente.A:fs;DÊS-@KŔẼ-7I
profissional,profissional.A:ms;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.A:fs;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.N:ms;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.N:fs;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.A:ms;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.A:fs;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.N:ms;PŔÔ-FÍ-SÍ-Ô-@NÁW
profissional,profissional.N:fs;PŔÔ-FÍ-SÍ-Ô-@NÁW
oriundas,oriundo.A:fp;Ô-ŔÍ-@Ũ-D6S
psicologia,psicologia.N:fs;PSÍ-KÔ-LÔ-@JÍ-6
gonorréia,gonorréia.N:fs;GÔ-NÔ-@HÉY-6
carlo,carlo.N+Pr:;@KÁR-LU
exagerou,exagerar.V:J3s;Ê-ZÁ-JÊ-@ŔÔW
pacificar,pacificar.V:W1s;PÁ-SÍ-FÍ-@KÁH
pacificar,pacificar.V:W3s;PÁ-SÍ-FÍ-@KÁH
pacificar,pacificar.V:U1s;PÁ-SÍ-FÍ-@KÁH
pacificar,pacificar.V:U3s;PÁ-SÍ-FÍ-@KÁH
burrice,burrice.N:fs;BÚ-@HÍ-SI
sérios,sério.A:mp;@SÉ-ŔÍ-US
sérios,sério.N:mp;@SÉ-ŔÍ-US
reforçar,reforçar.V:W1s;HÊ-FÔH-@SÁH
reforçar,reforçar.V:W3s;HÊ-FÔH-@SÁH
reforçar,reforçar.V:U1s;HÊ-FÔH-@SÁH
reforçar,reforçar.V:U3s;HÊ-FÔH-@SÁH
coincidentemente,coincidentemente.ADV:;KÔ-Ĩ-SÍ-DẼ-7Í-@MẼ-7I
experimentados,experimentado.A:mp;ÊS-PÊ-ŔÍ-MẼ-@TÁ-DUS
experimentados,experimentado.V:K;ÊS-PÊ-ŔÍ-MẼ-@TÁ-DUS
concordam,concordar.V:P3p;KÕ-@KÓR-DÃŴ
possam,poder.V:S3p;@PÓ-SÃŴ
possam,poder.V:P3p;@PÓ-SÃŴ
possam,poder.V:S3p;@PÓ-SÃŴ
possam,poder.V:P3p;@PÓ-SÃŴ
abalar,abalar.V:W1s;Á-BÁ-@LÁH
abalar,abalar.V:W3s;Á-BÁ-@LÁH
abalar,abalar.V:U1s;Á-BÁ-@LÁH
abalar,abalar.V:U3s;Á-BÁ-@LÁH
milionária,milionário.A:fs;MÍ-LÍ-Ô-@NÁ-ŔÍ-6
milionária,milionário.N:fs;MÍ-LÍ-Ô-@NÁ-ŔÍ-6
injunção,injunção.N:fs;Ĩ-JŨ-@SÃŴ
queijos,queijo.N:mp;@KÊY-JUS
infâmia,infâmia.N:fs;Ĩ-@FÃ-MÍ-6
atraindo,atrair.V:G;Á-TŔÁ-@Ĩ-DU
arquiteta,arquitetar.V:P3s;ÁH-KÍ-@TÉ-T6
arquiteta,arquitetar.V:Y2s;ÁH-KÍ-@TÉ-T6
integradas,integrar.V:K;Ĩ-TÊ-@GŔÁ-D6S
curar,curar.V:W1s;KÚ-@ŔÁH
curar,curar.V:W3s;KÚ-@ŔÁH
curar,curar.V:U1s;KÚ-@ŔÁH
curar,curar.V:U3s;KÚ-@ŔÁH
amato,amato.V:P1s;Á-@MÁ-TU
amato,amato.N+Pr:;Á-@MÁ-TU
envelhecimento,envelhecimento.N:ms;Ẽ-VÊ-ĹÊ-SÍ-@MẼ-TU
jogadores,jogador.A:mp;JÔ-GÁ-@DÔ-ŔIS
jogadores,jogador.N:mp;JÔ-GÁ-@DÔ-ŔIS
bordo,bordo.V:P1s;@BÓR-DU
bordo,bordo.N:ms;@BÓR-DU
bordo,bordo.V:P1s;@BÓR-DU
bordo,bordo.N:ms;@BÓR-DU
albaneses,albanês.A:mp;ÁW-BÁ-@NÊ-ZIS
albaneses,albanês.N:mp;ÁW-BÁ-@NÊ-ZIS
nelsinho,nelsinho.N+Pr:;NÉW-@SĨ-ÑU
exuberância,exuberância.N:fs;Ê-ZÚ-BÊ-@ŔÃ-SÍ-6
minuciosa,minucioso.A:fs;MÍ-NÚ-SÍ-@Ó-Z6
meros,mero.A:mp;@MÉ-ŔUS
meros,mero.N:mp;@MÉ-ŔUS
bueiros,bueiro.N:mp;BÚ-@ÊY-ŔUS
obstáculos,obstáculo.N:mp;ÔBS-@TÁ-KÚ-LUS
selecionaram,selecionar.V:J3p;SÊ-LÊ-SÍ-Ô-@NÁ-ŔÃŴ
selecionaram,selecionar.V:Q3p;SÊ-LÊ-SÍ-Ô-@NÁ-ŔÃŴ
lotes,lote.V:S2s;@LÓ-7IS
lotes,lote.N:mp;@LÓ-7IS
conquistar,conquistar.V:W1s;KÕ-KÍS-@TÁH
conquistar,conquistar.V:W3s;KÕ-KÍS-@TÁH
conquistar,conquistar.V:U1s;KÕ-KÍS-@TÁH
conquistar,conquistar.V:U3s;KÕ-KÍS-@TÁH
engessado,engessar.V:K;Ẽ-JÊ-@SÁ-DU
transmitir,transmitir.V:W1s;TŔÃZ-MÍ-@7ÍH
transmitir,transmitir.V:W3s;TŔÃZ-MÍ-@7ÍH
transmitir,transmitir.V:U1s;TŔÃZ-MÍ-@7ÍH
transmitir,transmitir.V:U3s;TŔÃZ-MÍ-@7ÍH
equivalia,equivaler.V:I1s;Ê-KÍ-VÁ-@LÍ-6
equivalia,equivaler.V:I3s;Ê-KÍ-VÁ-@LÍ-6
aliviado,aliviado.A:ms;Á-LÍ-VÍ-@Á-DU
aliviado,aliviado.V:K;Á-LÍ-VÍ-@Á-DU
pensadores,pensador.A:mp;PẼ-SÁ-@DÔ-ŔIS
pensadores,pensador.N:mp;PẼ-SÁ-@DÔ-ŔIS
terapia,terapia.N:fs;TÊ-ŔÁ-@PÍ-6
doutores,doutor.V:S2s;DÔW-@TÔ-ŔIS
doutores,doutor.N:mp;DÔW-@TÔ-ŔIS
calma,calmo.A:fs;@KÁW-M6
calma,calmo.V:P3s;@KÁW-M6
calma,calmo.V:Y2s;@KÁW-M6
calma,calmo.N:fs;@KÁW-M6
calma,calmo.A:fs;@KÁW-M6
calma,calmo.V:P3s;@KÁW-M6
calma,calmo.V:Y2s;@KÁW-M6
calma,calmo.N:fs;@KÁW-M6
calma,calmo.A:fs;@KÁW-M6
calma,calmo.V:P3s;@KÁW-M6
calma,calmo.V:Y2s;@KÁW-M6
calma,calmo.N:fs;@KÁW-M6
belgrado,belgrado.N+Pr:;BÉW-@GŔÁ-DU
certificação,certificação.N:fs;SÊH-7Í-FÍ-KÁ-@SÃŴ
permitiremos,permitir.V:F1p;PÊR-MÍ-7Í-@ŔẼ-MUS
parentes,parente.A:mp;PÁ-@ŔẼ-7IS
parentes,parente.V:S2s;PÁ-@ŔẼ-7IS
parentes,parente.N:mp;PÁ-@ŔẼ-7IS
parentes,parente.A:mp;PÁ-@ŔẼ-7IS
parentes,parente.V:S2s;PÁ-@ŔẼ-7IS
parentes,parente.N:mp;PÁ-@ŔẼ-7IS
coxa,coxo.A:fs;@KÔ-X6
coxa,coxo.N:fs;@KÔ-X6
coxa,coxo.N:fs;@KÔ-X6
totalitário,totalitário.A:ms;TÔ-TÁ-LÍ-@TÁ-ŔÍ-U
moa,moer.V:S1s;@MÔ-6
moa,moer.V:S3s;@MÔ-6
moa,moer.V:Y3s;@MÔ-6
versolato,versolato.N+Pr:;VÊH-SÔ-@LÁ-TU
medianeira,medianeiro.A:fs;MÊ-8Í-6-@NÊY-Ŕ6
medianeira,medianeiro.N:fs;MÊ-8Í-6-@NÊY-Ŕ6
salvaram,salvar.V:J3p;SÁW-@VÁ-ŔÃŴ
salvaram,salvar.V:Q3p;SÁW-@VÁ-ŔÃŴ
tiram,tirar.V:P3p;@7Í-ŔÃŴ
proletário,proletário.A:ms;PŔÔ-LÊ-@TÁ-ŔÍ-U
proletário,proletário.N:ms;PŔÔ-LÊ-@TÁ-ŔÍ-U
celebrados,celebrado.A:mp;SÊ-LÊ-@BŔÁ-DUS
celebrados,celebrado.V:K;SÊ-LÊ-@BŔÁ-DUS
haitiano,haitiano.A:ms;ÁY-7Í-@Ã-NU
haitiano,haitiano.N:ms;ÁY-7Í-@Ã-NU
bombardeio,bombardeio.V:P1s;BÕ-BÁR-@DÊY-U
bombardeio,bombardeio.N:ms;BÕ-BÁR-@DÊY-U
esquizofrênico,esquizofrênico.A:ms;ÊS-KÍ-ZÔ-@FŔẼ-NÍ-KU
esquizofrênico,esquizofrênico.A:ms;ÊS-KÍ-ZÔ-@FŔẼ-NÍ-KU
incendiou,incendiar.V:J3s;Ĩ-SẼ-8Í-@ÔW
após,após.ADV:;Á-@PÓS
após,após.PREP:;Á-@PÓS
após,após.ADV:;Á-@PÓS
após,após.PREP:;Á-@PÓS
maquetes,maquete.N:fp;MÁ-@KÉ-7IS
cosme,cosme.N+Pr:;@KÓZ-MI
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.ADV:;@PÔW-KU
pouco,pouco.N:ms;@PÔW-KU
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.ADV:;@PÔW-KU
pouco,pouco.N:ms;@PÔW-KU
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.A:ms;@PÔW-KU
pouco,pouco.ADV:;@PÔW-KU
pouco,pouco.N:ms;@PÔW-KU
moratória,moratório.A:fs;MÔ-ŔÁ-@TÓ-ŔÍ-6
moratória,moratório.N:fs;MÔ-ŔÁ-@TÓ-ŔÍ-6
hormonais,hormonal.A:mp;ÔR-MÔ-@NÁYS
hormonais,hormonal.A:fp;ÔR-MÔ-@NÁYS
adotem,adotar.V:S3p;Á-@DÓ-TẼỸ
adotem,adotar.V:Y3p;Á-@DÓ-TẼỸ
tiago,tiago.N+Pr:;7Í-@Á-GU
marechal,marechal.N:ms;MÁ-ŔÊ-@XÁW
marechal,marechal.N+Pr:;MÁ-ŔÊ-@XÁW
blusas,blusa.N:fp;@BLÚ-Z6S
sobreviver,sobreviver.V:W1s;SÔ-BŔÊ-VÍ-@VÊH
sobreviver,sobreviver.V:W3s;SÔ-BŔÊ-VÍ-@VÊH
sobreviver,sobreviver.V:U1s;SÔ-BŔÊ-VÍ-@VÊH
sobreviver,sobreviver.V:U3s;SÔ-BŔÊ-VÍ-@VÊH
pampas,pampa.A:mp;@PÃ-P6S
pampas,pampa.A:fp;@PÃ-P6S
pampas,pampa.N:mp;@PÃ-P6S
pampas,pampa.N:fp;@PÃ-P6S
turístico,turístico.A:ms;TÚ-@ŔÍX-7Í-KU
destacaria,destacar.V:C1s;DÊS-TÁ-KÁ-@ŔÍ-6
destacaria,destacar.V:C3s;DÊS-TÁ-KÁ-@ŔÍ-6
passageiro,passageiro.A:ms;PÁ-SÁ-@JÊY-ŔU
passageiro,passageiro.N:ms;PÁ-SÁ-@JÊY-ŔU
fervendo,ferver.V:G;FÊR-@VẼ-DU
indica,indicar.V:P3s;Ĩ-@8Í-K6
indica,indicar.V:Y2s;Ĩ-@8Í-K6
embutida,embutido.A:fs;Ẽ-BÚ-@7Í-D6
embutida,embutido.V:K;Ẽ-BÚ-@7Í-D6
embutida,embutido.N:fs;Ẽ-BÚ-@7Í-D6
benevolência,benevolência.N:fs;BÊ-NÊ-VÔ-@LẼ-SÍ-6
redonda,redondo.A:fs;HÊ-@DÕ-D6
redonda,redondo.N:fs;HÊ-@DÕ-D6
redonda,redondo.A:fs;HÊ-@DÕ-D6
redonda,redondo.N:fs;HÊ-@DÕ-D6
resultam,resultar.V:P3p;HÊ-@ZÚW-TÃŴ
daninhas,daninho.A:fp;D6-@NĨ-Ñ6S
daninhas,daninho.V:P2s;D6-@NĨ-Ñ6S
libertou,libertar.V:J3s;LÍ-BÊH-@TÔW
ensaísta,ensaísta.N:ms;Ẽ-SÁ-@ÍS-T6
ensaísta,ensaísta.N:fs;Ẽ-SÁ-@ÍS-T6
extraídas,extrair.V:K;ÊS-TŔÁ-@Í-D6S
bobagem,bobagem.N:fs;BÔ-@BÁ-JẼỸ
congelou,congelar.V:J3s;KÕ-JÊ-@LÔW
pretendida,pretender.V:K;PŔÊ-TẼ-@8Í-D6
botando,botar.V:G;BÔ-@TÃ-DU
curativos,curativo.A:mp;KÚ-ŔÁ-@7Í-VUS
curativos,curativo.N:mp;KÚ-ŔÁ-@7Í-VUS
coro,coro.V:P1s;@KÔ-ŔU
coro,coro.N:ms;@KÔ-ŔU
madureira,madureira.N+Pr:;MÁ-DÚ-@ŔÊY-Ŕ6
vultos,vulto.N:mp;@VÚW-TUS
desigual,desigual.A:ms;DÊ-ZÍ-@GWÁW
desigual,desigual.A:fs;DÊ-ZÍ-@GWÁW
deslize,deslize.V:S1s;DÊZ-@LÍ-ZI
deslize,deslize.V:S3s;DÊZ-@LÍ-ZI
deslize,deslize.V:Y3s;DÊZ-@LÍ-ZI
deslize,deslize.N:ms;DÊZ-@LÍ-ZI
negativa,negativo.A:fs;NÊ-GÁ-@7Í-V6
negativa,negativo.V:P3s;NÊ-GÁ-@7Í-V6
negativa,negativo.V:Y2s;NÊ-GÁ-@7Í-V6
negativa,negativo.N:fs;NÊ-GÁ-@7Í-V6
negativa,negativo.N:fs;NÊ-GÁ-@7Í-V6
negativa,negativo.A:fs;NÊ-GÁ-@7Í-V6
negativa,negativo.V:P3s;NÊ-GÁ-@7Í-V6
negativa,negativo.V:Y2s;NÊ-GÁ-@7Í-V6
negativa,negativo.N:fs;NÊ-GÁ-@7Í-V6
negativa,negativo.N:fs;NÊ-GÁ-@7Í-V6
local,local.A:ms;LÔ-@KÁW
local,local.A:fs;LÔ-@KÁW
local,local.N:ms;LÔ-@KÁW
local,local.N:fs;LÔ-@KÁW
local,local.A:ms;LÔ-@KÁW
local,local.A:fs;LÔ-@KÁW
local,local.N:ms;LÔ-@KÁW
local,local.N:fs;LÔ-@KÁW
traz,trazer.V:P3s;@TŔÁS
traz,trazer.V:Y2s;@TŔÁS
traz,trazer.V:P3s;@TŔÁS
traz,trazer.V:Y2s;@TŔÁS
capítulo,capítulo.N:ms;KÁ-@PÍ-TÚ-LU
precedência,precedência.N:fs;PŔÊ-SÊ-@DẼ-SÍ-6
sofreu,sofrer.V:J3s;SÔ-@FŔÊW
armários,armário.N:mp;ÁR-@MÁ-ŔÍ-US
furiosa,furioso.A:fs;FÚ-ŔÍ-@Ó-Z6
furiosa,furioso.A:fs;FÚ-ŔÍ-@Ó-Z6
parecem,parecer.V:P3p;PÁ-@ŔÉ-SẼỸ
parecem,parecer.V:P3p;PÁ-@ŔÉ-SẼỸ
pastas,pasta.V:P2s;@PÁS-T6S
pastas,pasta.N:fp;@PÁS-T6S
tenhamos,ter.V:S1p;TẼ-@ÑÃ-MUS
tenhamos,ter.V:Y1p;TẼ-@ÑÃ-MUS
somente,somente.ADV:;SÓ-@MẼ-7I
somente,somente.ADV:;SÓ-@MẼ-7I
receberia,receber.V:C1s;HÊ-SÊ-BÊ-@ŔÍ-6
receberia,receber.V:C3s;HÊ-SÊ-BÊ-@ŔÍ-6
submundo,submundo.N:ms;SÚB-@MŨ-DU
mendes,mendes.N+Pr:;@MẼ-8IS
pilotos,piloto.A:mp;PÍ-@LÔ-TUS
pilotos,piloto.N:mp;PÍ-@LÔ-TUS
siglas,sigla.V:P2s;@SÍ-GL6S
siglas,sigla.N:fp;@SÍ-GL6S
rosto,rosto.V:P1s;@HÔS-TU
rosto,rosto.N:ms;@HÔS-TU
administradora,administrador.A:fs;Á8-MÍ-NÍS-TŔÁ-@DÔ-Ŕ6
administradora,administrador.N:fs;Á8-MÍ-NÍS-TŔÁ-@DÔ-Ŕ6
administradora,administrador.A:fs;Á8-MÍ-NÍS-TŔÁ-@DÔ-Ŕ6
administradora,administrador.N:fs;Á8-MÍ-NÍS-TŔÁ-@DÔ-Ŕ6
turmas,turma.N:fp;@TÚR-M6S
comprovados,comprovar.V:K;KÕ-PŔÔ-@VÁ-DUS
generoso,generoso.A:ms;JÊ-NÊ-@ŔÔ-ZU
prontos,pronto.A:mp;@PŔÕ-TUS
prontos,pronto.N:mp;@PŔÕ-TUS
prontos,pronto.A:mp;@PŔÕ-TUS
prontos,pronto.N:mp;@PŔÕ-TUS
utópica,utópico.A:fs;Ú-@TÓ-PÍ-K6
utópica,utópico.A:fs;Ú-@TÓ-PÍ-K6
osteoporose,osteoporose.N:fs;ÔS-TÊ-Ô-PÔ-@ŔÓ-ZI
aposentado,aposentado.A:ms;Á-PÔ-ZẼ-@TÁ-DU
aposentado,aposentado.V:K;Á-PÔ-ZẼ-@TÁ-DU
aposentado,aposentado.N:ms;Á-PÔ-ZẼ-@TÁ-DU
aposentado,aposentado.A:ms;Á-PÔ-ZẼ-@TÁ-DU
aposentado,aposentado.V:K;Á-PÔ-ZẼ-@TÁ-DU
aposentado,aposentado.N:ms;Á-PÔ-ZẼ-@TÁ-DU
curvou,curvar.V:J3s;KÚR-@VÔW
cruza,cruzar.V:P3s;@KŔÚ-Z6
cruza,cruzar.V:Y2s;@KŔÚ-Z6
cruza,cruzar.V:P3s;@KŔÚ-Z6
cruza,cruzar.V:Y2s;@KŔÚ-Z6
doados,doar.V:K;DÔ-@Á-DUS
líder,líder.A:ms;@LÍ-DÊH
líder,líder.N:ms;@LÍ-DÊH
disponho,dispor.V:P1s;8ÍS-@PÕ-ÑU
precisará,precisar.V:F3s;PŔÊ-SÍ-ZÁ-@ŔÁ
precisará,precisar.V:F3s;PŔÊ-SÍ-ZÁ-@ŔÁ
custam,custar.V:P3p;@KÚS-TÃŴ
declinante,declinante.A:ms;DÊ-KLÍ-@NÃ-7I
declinante,declinante.A:fs;DÊ-KLÍ-@NÃ-7I
assalta,assaltar.V:P3s;Á-@SÁW-T6
assalta,assaltar.V:Y2s;Á-@SÁW-T6
inaugural,inaugural.A:ms;Í-NÁW-GÚ-@ŔÁW
inaugural,inaugural.A:fs;Í-NÁW-GÚ-@ŔÁW
quarto,quarto.DET+Num:;@KWÁH-TU
quarto,quarto.V:P1s;@KWÁH-TU
quarto,quarto.N:ms;@KWÁH-TU
quarto,quarto.DET+Num:;@KWÁH-TU
quarto,quarto.V:P1s;@KWÁH-TU
quarto,quarto.N:ms;@KWÁH-TU
setentrional,setentrional.A:ms;SÊ-TẼ-TŔÍ-Ô-@NÁW
setentrional,setentrional.A:fs;SÊ-TẼ-TŔÍ-Ô-@NÁW
setentrional,setentrional.N:ms;SÊ-TẼ-TŔÍ-Ô-@NÁW
setentrional,setentrional.N:fs;SÊ-TẼ-TŔÍ-Ô-@NÁW
soava,soar.V:I1s;SÔ-@Á-V6
soava,soar.V:I3s;SÔ-@Á-V6
aceitas,aceito.A:fp;Á-@SÊY-T6S
aceitas,aceito.V:P2s;Á-@SÊY-T6S
areia,areia.A:ms;Á-@ŔÊY-6
areia,areia.A:mp;Á-@ŔÊY-6
areia,areia.A:fs;Á-@ŔÊY-6
areia,areia.A:fp;Á-@ŔÊY-6
areia,areia.V:P3s;Á-@ŔÊY-6
areia,areia.V:Y2s;Á-@ŔÊY-6
areia,areia.N:ms;Á-@ŔÊY-6
areia,areia.N:fs;Á-@ŔÊY-6
areia,areia.A:ms;Á-@ŔÊY-6
areia,areia.A:mp;Á-@ŔÊY-6
areia,areia.A:fs;Á-@ŔÊY-6
areia,areia.A:fp;Á-@ŔÊY-6
areia,areia.V:P3s;Á-@ŔÊY-6
areia,areia.V:Y2s;Á-@ŔÊY-6
areia,areia.N:ms;Á-@ŔÊY-6
areia,areia.N:fs;Á-@ŔÊY-6
mutação,mutação.N:fs;MÚ-TÁ-@SÃŴ
transatlântico,transatlântico.A:ms;TŔÃ-ZÁ-@TLÃ-7Í-KU
transatlântico,transatlântico.N:ms;TŔÃ-ZÁ-@TLÃ-7Í-KU
microcomputador,microcomputador.N:ms;MÍ-KŔÔ-KÕ-PÚ-TÁ-@DÔH
guerreiros,guerreiro.A:mp;GÊ-@HÊY-ŔUS
guerreiros,guerreiro.N:mp;GÊ-@HÊY-ŔUS
guerreiros,guerreiro.A:mp;GÊ-@HÊY-ŔUS
guerreiros,guerreiro.N:mp;GÊ-@HÊY-ŔUS
retomado,retomar.V:K;HÊ-TÔ-@MÁ-DU
flagrar,flagrar.V:W1s;FLÁ-@GŔÁH
flagrar,flagrar.V:W3s;FLÁ-@GŔÁH
flagrar,flagrar.V:U1s;FLÁ-@GŔÁH
flagrar,flagrar.V:U3s;FLÁ-@GŔÁH
telegramas,telegrama.N:mp;TÊ-LÊ-@GŔÃ-M6S
oscilaram,oscilar.V:J3p;Ô-SÍ-@LÁ-ŔÃŴ
oscilaram,oscilar.V:Q3p;Ô-SÍ-@LÁ-ŔÃŴ
tablóide,tablóide.A:ms;TÁ-@BLÓY-8I
tablóide,tablóide.A:fs;TÁ-@BLÓY-8I
tablóide,tablóide.N:ms;TÁ-@BLÓY-8I
tablóide,tablóide.N:fs;TÁ-@BLÓY-8I
humaitá,humaitá.N+Pr:;Ú-MÁY-@TÁ
descanso,descanso.V:P1s;DÊS-@KÃ-SU
descanso,descanso.N:ms;DÊS-@KÃ-SU
dizemos,dizer.V:P1p;8Í-@ZẼ-MUS
boas,bom.A:fp;@BÔ-6S
boas,bom.N:fp;@BÔ-6S
boas,bom.N:fp;@BÔ-6S
boas,bom.A:fp;@BÔ-6S
boas,bom.N:fp;@BÔ-6S
boas,bom.N:fp;@BÔ-6S
sexto,sexto.DET+Num:;@SÊS-TU
sexto,sexto.N:ms;@SÊS-TU
sexto,sexto.DET+Num:;@SÊS-TU
sexto,sexto.N:ms;@SÊS-TU
soberana,soberano.A:fs;SÔ-BÊ-@ŔÃ-N6
soberana,soberano.N:fs;SÔ-BÊ-@ŔÃ-N6
distinções,distinção.N:fp;8ÍX-7Ĩ-@SÕỸS
